id	filename	md5	size	state
9782b9f9-516f-4264-ab86-1d2ca20569f3	TCGA-GBM.7c10cc13-d1d4-445b-9d6c-e2ea021b3949.ascat3.gene_level_copy_number.v36.tsv	6bee3a46ff5616ef363ac5b5f49b64ba	3445802	released
10c42f7f-29aa-4e20-ba4a-b19d807ef40e	21b9f3ba-edcc-4640-9ddd-e8f60ec456f3.wxs.aliquot_ensemble_masked.maf.gz	fef2356ed7c4cd4056eb23a068133b77	14043	released
ffa4c2fc-7937-4a47-a622-e88e90683055	61d80f19-83a9-4dec-af2b-82b2c8b53fd3.wxs.aliquot_ensemble_masked.maf.gz	e2d1c733035114af8a8f52c5ba7d9c34	28184	released
518e9892-19dc-4884-be84-e59f18604741	TCGA-GBM.9f501dd0-fcc8-403d-b675-1712f1d2bf4e.gene_level_copy_number.v36.tsv	0968ab3a79100defb7435a834489c475	3447024	released
a492121f-3bae-416e-9c99-c8342c50c3be	TCGA-GBM.c9d200e4-3f65-4474-b4ba-d1b1d7d1bd43.gene_level_copy_number.v36.tsv	94ac368850f825cae2dadd0dfb97410d	3447068	released
bc33f209-6bfc-44e9-89e7-5b501a77745c	TCGA-GBM.840c2647-dda1-4398-a56e-b0ece6016ad1.gene_level_copy_number.v36.tsv	e4adc9ce13a442bc1ea1766dcd311d69	3447167	released
26f70d72-362e-451f-a363-20aa0180af66	a6611936-3cc8-48f4-a4ef-b2445c5363f0.wxs.aliquot_ensemble_masked.maf.gz	9d8d05ef2fd1619333e25e83d4ee2c2f	22736	released
ae19a70d-181a-48cd-bcc6-0e03851a5e5b	TCGA-GBM.9f501dd0-fcc8-403d-b675-1712f1d2bf4e.ascat3.gene_level_copy_number.v36.tsv	cc1682a8da4f60112513e68f5173e4fe	3445659	released
a280ebdb-9ab3-40da-8a92-ccbf226adcd9	TCGA-GBM.2d9aba03-27b7-423c-bdba-b49a443ad2d5.ascat3.gene_level_copy_number.v36.tsv	8e726d3461b9f8e549e9f23376ba0bf2	3445747	released
7cff630c-060e-4542-b25e-a0308c0a7ac3	a86c8eb7-0b17-44fb-91cc-62082cc77317.wxs.aliquot_ensemble_masked.maf.gz	afd75f818e6c15eff07618fc232408ba	14924	released
8dad92da-555f-4307-b125-dcf4f920d68e	TCGA-GBM.627c485c-59d9-4b5d-b459-c0fb0520cc54.ascat3.gene_level_copy_number.v36.tsv	fff59abb1bd561b27b85a1097aba3cb5	3445526	released
132952f3-53b8-4280-bf24-6e73c6d47881	TCGA-GBM.1e1c183a-5af0-450a-9d99-aab351a6afd9.ascat3.gene_level_copy_number.v36.tsv	1e99525ed658391853681ed3d868b88f	3445537	released
a3d7ea4e-dd44-449a-a766-217f6fd215f3	84e9de46-0d84-4ef9-a9dd-8dfacbc92adf.wxs.aliquot_ensemble_masked.maf.gz	822d13109711cfcf7e30d3cd6eebf93a	30092	released
ac45611b-a286-4004-aab5-730abaca2ad7	TCGA-GBM.bebc20c2-a50b-4e90-9fcd-8f1d6df75727.ascat3.gene_level_copy_number.v36.tsv	e54c8a75b37a8d8ebba4e64f1c6835d5	3445517	released
cf2c215b-c7d6-4483-a41d-215a5f0e4be3	TCGA-GBM.3f799bb6-98ea-42dd-b2c4-612185f1cda7.gene_level_copy_number.v36.tsv	be2cb80843f3664bde8ee1e5a536285d	3446843	released
98623c1e-921f-4af4-a093-3fd3380877ab	TCGA-GBM.3f799bb6-98ea-42dd-b2c4-612185f1cda7.ascat3.gene_level_copy_number.v36.tsv	7bfbdc30bee502492e17bc1a4d493bad	3445505	released
af29cb03-921e-40ff-a81b-55f0a0d25ac5	39d853e5-70b5-4266-93c0-94c9ce73a68e.wxs.aliquot_ensemble_masked.maf.gz	8ab938db091c6b1dae4c4e95d1c4e082	14645	released
fa03146e-2154-49a9-8ddd-7e7e64b2e1f0	TCGA-GBM.7ec6b61d-88c1-4453-816b-99c754a9559c.gene_level_copy_number.v36.tsv	dd8a9566a498b201a56a573ff2f50e7d	3446952	released
7087c9cf-3f02-4823-b7fe-f40e5ae84cad	f92233b1-2987-4ab2-b5f9-b180abfbd02c.wxs.aliquot_ensemble_masked.maf.gz	a0f232d7ebaae012572b389c94891c24	21503	released
7b6e60d8-9a99-4ebc-90b0-da87ec15a3c6	TCGA-GBM.6c437c25-69bc-42ca-a070-bafdd5b27089.gene_level_copy_number.v36.tsv	bedac5f8ad4942788fab8681c94f8e0d	3446738	released
2d625d14-1819-4556-9d9a-d8da760125ff	TCGA-GBM.a385a32a-6994-4c8e-947e-fd6122504192.gene_level_copy_number.v36.tsv	a4da64326870e19ccbace5391b6a9f18	3446858	released
93cc0e41-08c7-4bd9-a910-3fafb9deadf8	64122701-eac5-4dba-90fb-921512a3f99a.wxs.aliquot_ensemble_masked.maf.gz	15a2f4fbcd085c05ccd9681f38db53df	24512	released
26c6704d-5e59-466d-b324-b4bc239794a8	6f6952d2-d8cd-49d3-b6c8-56e1642af6a0.wxs.aliquot_ensemble_masked.maf.gz	cacd3a05c8889d016830caf5c3125efc	15400	released
00a6589b-6c02-4b41-b363-fb5e7151675b	ab07fdf2-e02f-4e37-a0d6-0c42813c3a92.wxs.aliquot_ensemble_masked.maf.gz	f8344f9f092bec6079f89059f0138e61	13606	released
06328477-271c-466a-8f9b-ca227b31ce1b	478d2cb4-bb02-4514-a8ec-b64e0de01aaf.wxs.aliquot_ensemble_masked.maf.gz	976b26b869ad0a952af33bf55edafbfa	19099	released
f34e4374-caf2-4322-b9e1-6d87b6262273	64a8c15b-4e5c-46e5-9a0c-ec088679b385.wgs.ASCAT.gene_level.copy_number_variation.tsv	a405ebcf29c1fcebf00951727dd13438	3444134	released
2df12676-9f01-4c6f-ab71-bc0361ded3f9	907be98d-dcf1-4394-8c27-22d465c09f61.wxs.aliquot_ensemble_masked.maf.gz	2a2c10612e2970377dbee8381dcf3524	13973	released
9b8d9a6b-f76d-476d-af84-58ccf885d12b	TCGA-GBM.a8684221-6b51-4221-a122-2ebcc553bbe3.ascat3.gene_level_copy_number.v36.tsv	bacaa767397135bd2400d62bbc8f65f9	3448546	released
09efc53f-41ad-4c74-91d9-887a95230a3d	TCGA-GBM.54bf4a63-a2e2-42f6-a150-6d2436c64327.gene_level_copy_number.v36.tsv	9d319c3577e558fb8e820a3615ad40bf	3446848	released
ac54aa6d-a305-4327-b1e1-04b2c25e45e7	TCGA-GBM.54bf4a63-a2e2-42f6-a150-6d2436c64327.ascat3.gene_level_copy_number.v36.tsv	b6c492cc3b34d1a391ffd06bb3eefc98	3445582	released
b2de13be-98b0-4c47-ae77-7423b4517451	TCGA-GBM.ae80de24-cb66-4c58-a4ed-9f3ce857ead6.gene_level_copy_number.v36.tsv	c692d701638974fe43a5621b5f58e845	3446895	released
16a12858-dcc6-4b9d-86c8-08118dc6171d	c20579df-b808-4a24-8f27-5738bb970b90.wxs.aliquot_ensemble_masked.maf.gz	b3ff3fc998959c3dd53435e0e3971c29	26300	released
029fde2a-49ec-4047-9289-1a699b687b08	8ff1e555-31f5-48ac-afc6-a4f7bdb5ea56.wxs.aliquot_ensemble_masked.maf.gz	3f94fbe22fb64d98c50913d5af8817dc	12337	released
